Index,IQ,CGPA,Placement
0,112,6.61,0
1,127,6.47,1
2,128,7.87,1
3,113,6.15,1
4,108,4.12,0
5,96,5.38,0
6,91,4.82,0
7,101,6.89,1
8,96,6.96,1
9,110,5.96,1
10,95,9.39,1
11,89,7.95,1
12,108,4.06,0
13,107,7.83,1
14,103,6.38,0
15,94,6.16,0
16,110,4.33,0
17,99,5.85,0
18,120,8.1,1
19,100,7.26,1
20,97,6.54,0
21,87,7.94,1
22,103,8.2,1
23,95,7.31,1
24,104,8.99,0
25,117,6.92,1
26,106,4.02,0
27,110,8.87,1
28,92,6.1,0
29,109,6.06,0
30,106,8.16,1
31,100,6.25,0
32,109,7.17,1
33,101,4.82,0
34,99,5.68,0
35,111,9.44,1
36,108,6.7,0
37,104,6.88,1
38,102,7.22,0
39,87,8.4,1
40,116,5.53,0
41,83,7.62,1
42,90,6.01,1
43,97,4.63,0
44,89,7.46,1
45,128,5.7,1
46,117,5.08,1
47,124,4.55,0
48,108,7.89,1
49,85,7.53,1
50,108,7.29,1
51,108,7.21,1
52,132,7.46,1
53,114,5.44,0
54,122,5.65,0
55,111,7.95,1
56,101,5.74,1
57,92,6.69,0
58,109,7.96,1
59,126,6.43,1
60,114,5.6,0
61,112,6.49,0
62,112,6.7,1
63,82,6.17,0
64,108,5.06,0
65,110,5.56,0
66,105,5.2,0
67,113,8.32,1
68,84,5.49,0
69,112,7.52,1
70,113,8.39,1
71,114,6.36,0
72,93,6.47,0
73,106,10.0,1
74,115,4.54,0
75,121,6.89,1
76,94,7.75,0
77,108,6.86,1
78,137,7.69,1
79,107,5.87,1
80,93,6.64,1
81,117,5.12,0
82,97,5.89,0
83,111,5.03,0
84,136,8.25,1
85,97,8.57,1
86,111,7.88,0
87,104,4.0,0
88,101,5.05,1
89,83,6.18,1
90,126,4.79,1
91,105,5.43,0
92,107,5.96,0
93,99,6.96,1
94,128,5.07,1
95,75,6.59,1
96,109,5.93,0
97,97,5.97,0
98,110,5.83,0
99,109,7.94,0
100,92,6.02,1
101,114,6.77,0
102,124,5.97,0
103,101,6.5,1
104,117,7.94,1
105,105,7.75,1
106,109,6.62,1
107,113,5.65,0
108,89,5.1,0
109,116,7.67,0
110,104,5.54,0
111,94,8.17,1
112,92,6.35,0
113,96,5.65,1
114,108,6.09,0
115,108,4.77,0
116,94,6.5,1
117,127,8.0,1
118,104,5.4,0
119,100,7.25,1
120,112,8.95,1
121,111,7.77,1
122,108,6.82,0
123,93,6.83,1
124,126,8.14,1
125,93,8.02,1
126,137,5.67,1
127,96,4.0,0
128,93,7.01,0
129,133,8.13,1
130,91,7.49,1
131,132,8.45,1
132,79,8.7,0
133,123,4.57,0
134,105,6.87,1
135,114,5.31,0
136,106,7.52,1
137,88,4.65,0
138,109,5.75,0
139,106,8.45,1
140,135,9.26,1
141,119,7.7,1
142,90,7.76,1
143,78,5.14,0
144,100,7.8,1
145,106,9.08,1
146,79,6.72,0
147,104,4.0,0
148,85,7.74,1
149,90,6.08,0
150,104,8.14,0
151,112,6.06,0
152,103,5.35,0
153,87,9.55,1
154,94,7.1,1
155,101,7.66,1
156,97,5.99,0
